Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link3_holder,1.04092800823352E-07,-0.0212951513452504,-7.80283795864811E-05,0,0,0,0.188164308449144,0.000263210714322179,1.19504902122293E-09,4.12755228449986E-11,0.000217666445518385,-2.0692789254073E-07,0.000312157989750956,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link3_holder.STL,0.768627450980392,0.207843137254902,0.152941176470588,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link3_holder.STL,,link3holder.step-1/Body1_1_14.step-2,link 3 holder Coordinate System,Axis8,link3_holder_j_link2,fixed,0,-0.41558,0,0,0,0,link2,0,0,0,,,,,,,,,,,,
link3,-0.0169999999422197,-0.01892736028304,-6.04970303303975E-05,0,0,0,0.186401761983701,0.00041649103061218,3.34702334402905E-13,-3.13694565292869E-11,0.000184673919396029,-1.00161394749398E-06,0.000448406474476473,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link3.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link3.STL,,link3mainbody.step-1/Body1_1_13.step-3,link3 Coordinate System,Axis9,link3_j_link3_holder,fixed,0.017,-0.065388,0,0,0,0,link3_holder,0,0,0,,,,,,,,,,,,
bevel_2_1,-0.00198768283371575,4.61148896846453E-11,-6.90960622051762E-11,0,0,0,0.0392764387724245,9.38677349018228E-06,3.28897900019598E-14,-2.48284275580556E-14,9.32983228228972E-06,-4.95150376085659E-16,9.32983227817736E-06,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/bevel_2_1.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/bevel_2_1.STL,,bevelgear1.step-2/Body1_1_1.step-17,bevel gear 2_1 Coordinate System,Axis11,bevel_2_1_j_link3,revolute,0.024311,-0.064641,-0.00015997,0,0,0,link3,-1,0,0,5,300,0,6.28,,,,,,,,
link3_coupler,-5.82388929926125E-05,6.31850608294737E-05,0.00122932281260923,0,0,0,0.0167222714991286,2.02973783240983E-06,1.06542374992194E-10,5.07256991235962E-10,3.61055369765391E-06,-5.45281201822252E-10,3.89529398167193E-06,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link3_coupler.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link3_coupler.STL,,coupler 1.step-2/Body1_1_16.step-3,link3 coupler Coordinate System,Axis10,link3_coupler_j_bevel_2_1,revolute,-0.039112,-0.00018086,-0.0017479,0,0,0,bevel_2_1,0,0,-1,5,300,0,-3.14,,,,,,,,
bevel1,-7.70539188010844E-12,-1.26052945859101E-10,0.00346916742513037,0,0,0,0.0389255764607632,7.4012826126844E-06,1.27861267831252E-15,8.75309317586799E-15,7.40128260914493E-06,8.08425734285388E-14,8.03729543400708E-06,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/bevel1.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/bevel1.STL,,bevelgear2.step-1/eBom-FreeParts.step-1,bevel gear 1 Coordinate System,Axis10,bevel1_j_link3_coupler,revolute,0,0,-0.037478,0,0,0,link3_coupler,0,0,-1,5,300,0,6.28,,,,,,,,
gripper,0.00947390082512833,-3.16404236144763E-10,-0.0326962287167527,0,0,0,0.341464156501707,0.000604244616606819,1.38650343886313E-12,0.000143274518301015,0.00239586527325236,-3.96987708690604E-12,0.00198563943102793,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/gripper.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/gripper.STL,,mainbody.step-1/Body1_1_17.step-1,gripper Coordinate System,Axis10,gripper_j_bevel1,fixed,0,0,-0.029432,0,0,0,bevel1,0,0,0,5,300,0,6.28,,,,,,,,
ss_rod,0.1075,7.105427357601E-15,5.88520343569598E-11,0,0,0,0.00282743338823081,5.65486677646163E-09,-4.26106075205144E-20,-6.52806601260074E-15,1.1931062039987E-05,-2.33254048897856E-29,1.1931062039987E-05,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/ss_rod.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/ss_rod.STL,,ss rod.step-1/Body1_1_15.step-12,ss rod Coordinate System,Axis12,ss_rod_j_gripper,fixed,-0.1025,0,-0.041068,0,0,0,gripper,0,0,0,,,,,,,,,,,,
spurgear1,0.01073269105099,-6.21724893790088E-15,5.86419801607008E-12,0,0,0,0.017095911870029,2.6664867878511E-06,1.85129689989352E-19,2.79946888523974E-16,2.15564617596662E-06,-1.23291483113597E-15,2.15564618008356E-06,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/spurgear1.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/spurgear1.STL,,spurgear1.step-1/Spur Gear (30 teeth)_1.step-5,spurgear1 Coordinate System,Axis13,spur_gear1_j_gripper,revolute,-0.1277,0,-0.077068,0,0,0,gripper,-1,0,0,5,300,0,6.28,,,,,,,,
threded_rod_up,0,2.22044604925031E-16,2.22044604925031E-16,0,0,0,0.0121489228511336,9.39627397423046E-08,-2.25918058139595E-19,-3.461185052434E-14,6.33226212195255E-05,-1.23669450529155E-28,6.33226212195255E-05,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/threded_rod_up.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/threded_rod_up.STL,,THREADED ROD 8 MM v1.step-1/Body1_1_23.step-2,threded rod up Coordinate System,Axis13,threded_jod_j_gripper,revolute,0.0175,0,-0.077068,0,0,0,gripper,-1,0,0,0,0,0,0,,,,,,,,
claw1,0.00575880746643986,-3.50262773762822E-06,-0.0565127254748121,0,0,0,0.134410672799192,0.000371952908783262,5.5004465774372E-09,3.30601034472799E-05,0.000362575120952862,-2.02998931758679E-09,2.71292076973183E-05,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/claw1.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/claw1.STL,,claw.step-1/Body1_1_21.step-8,claw 1 Coordinate System,Axis13,claw1_j_threded_rod_up,prismatic,-0.1075,0,0,0,0,0,threded_rod_up,-1,0,0,5,300,0,0.05,,,,,,,,
shaft_coupler,-3.34353145170496E-09,-2.21470920447331E-06,2.20177151222245E-06,0,0,0,0.00642699869056132,2.90757461608025E-07,1.22521912944497E-13,9.59361453548064E-14,6.22257888518885E-07,-1.54341930965944E-10,6.22256087053553E-07,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/shaft_coupler.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/shaft_coupler.STL,,3613N57_Set Screw Shaft Coupling.step-1/Body1_1_19.step-10,rigid shaft coupler Coordinate System,Axis13,shaft_coupller_j_gripper,fixed,0.081,0.00015741,-0.077225,0,0,0,gripper,0,0,0,,,,,,,,,,,,
motor,0.0211379514351595,6.88338275267597E-15,1.29814665295047E-05,0,0,0,0.0558864492200027,5.79372255972707E-06,-1.11395473946062E-19,-2.38707164672831E-08,3.78491735617808E-05,1.20433601788769E-21,3.78610357361111E-05,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/motor.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/motor.STL,,140 kgcm motor v1.step-1/Body1_1_18.step-11,motor Coordinate System,Axis13,motor_j_gripper,fixed,0.1225,0,-0.077068,0,0,0,gripper,0,0,0,,,,,,,,,,,,
spur_gear2,0.0107326910509882,-2.88657986402541E-15,5.86020121318143E-12,0,0,0,0.0170959118700088,2.6664867878468E-06,8.3549543536952E-20,2.80075169711451E-16,2.15564617575233E-06,-7.75564904852259E-16,2.15564618029305E-06,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/spur_gear2.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/spur_gear2.STL,,spurgear1.step-2/Spur Gear (30 teeth)_1.step-5,spurgear2 Coordinate System,Axis14,spur_gear2_j_gripper,revolute,-0.1277,0,-0.11487,0,0,0,gripper,-1,0,0,5,300,0,6.28,,,,,,,,
threded_rod_down,4.44089209850063E-16,0,-4.44089209850063E-16,0,0,0,0.0121489228511336,9.39627397423046E-08,-2.25918058139595E-19,-3.461185052434E-14,6.33226212195255E-05,-1.23669450529155E-28,6.33226212195255E-05,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/threded_rod_down.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/threded_rod_down.STL,,THREADED ROD 8 MM v1.step-2/Body1_1_23.step-2,Threded rod down Coordinate System,Axis14,threded_rod_down_j_gripper,revolute,0.0175,0,-0.11487,0,0,0,gripper,-1,0,0,0,0,0,0,,,,,,,,
claw2,-0.00575880742509649,3.50262773896048E-06,-0.0190127254811181,0,0,0,0.134410672799188,0.000371952908855641,5.50044657641857E-09,-3.30601030697604E-05,0.000362575120952851,2.02998932900778E-09,2.71292076249286E-05,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/claw2.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/claw2.STL,,claw.step-2/Body1_1_21.step-8,claw 2 coordinate system,Axis14,claw2_j_threded_rod_down,prismatic,0.041,0,0.000299,0,0,0,threded_rod_down,-1,0,0,5,0.03,0,0.03,,,,,,,,
bevel_2_2,0.00198768283371975,8.5286000484075E-11,8.57451887270599E-11,0,0,0,0.0392764387724469,9.38677349018948E-06,-5.1670018267452E-14,-4.17556208174296E-14,9.32983228157335E-06,-1.61680580364253E-15,9.3298322789013E-06,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/bevel_2_2.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/bevel_2_2.STL,,bevelgear1.step-1/Body1_1_1.step-17,bevel gear 2_2Coordinate System,Axis11,bevel_2_2_j_link3,revolute,-0.058311,-0.064641,-0.00015997,0,0,0,link3,-1,0,0,5,300,0,6.28,,,,,,,,
link2_motor_holder,-2.56259458097929E-11,8.04152539002345E-08,0.046877021806319,0,0,0,0.043743804004434,0.00012449983939246,3.41065754728543E-18,5.29237705775377E-14,9.68442144708896E-05,-2.03364458424434E-11,2.78378906768312E-05,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link2_motor_holder.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link2_motor_holder.STL,,link2motorplate.step-1/Body1_1_9.step-8,link2 motor holder plateCoordinate System,Axis6,link2_motor_holder_j_link1_endpart,fixed,-0.0425,0,0.0094039,0,0,0,link1_end_part,0,0,0,,,,,,,,,,,,
